Assembly Constituency,Part,Parlimentary Constituency,Subpart,Village,Post Office,Police Station,Rajasva Halka,Panchayat,Anchal,Prakhand,District,Zip Code,Polling Booth,Polling Address,Sanity
"['1', 'वाल्मीकिनगर', 'सामान्य']",7,"['1', 'वाल्मीकिनगर', 'सामान्य']",परसौनी टोला बनरहिया बेलवनवा,बलगंगवा,वाल्मीकिनगर,वाल्मीकिनगर,001,लक्ष्मीपुर रमपुरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"प्राथमिक विद्यालय, रोहुआ टोला","प्राथमिक विद्यालय,रोहुआ","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",एन,वाल्मीकिनगर,वाल्मीकिनगर,,001,वाल्मीकिनगर,बगहा 2,बगहा 2, ,845107,"बाल विद्या केंद्र मध्य विद्यालय, मतदान केन्द्र की विशेष","बाल विद्या केंद्र मध्य विद्यालय, सहायक","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",कैरई घुरौली,धुरौली,नौरंगिया,नौरंगिया,003,नौरंगिया दरदरी,बगहा 2,बगहा 2, ,845106,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",रसमपुरवा,रमपुरवा,रमपुरवा,वाल्मीकिनगर,,लक्ष्मीपुर रमपुरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"प्राथमिक विद्यालय, रमपुरवा मतदान केन्द्र की विशेष","प्राथमिक विद्यालय, रमपुरवा","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",20,"['1', 'वाल्मीकिनगर', 'सामान्य']",परसौनी ,परसौनी,वाल्मीकिनगर,वाल्मीकिनगर,001,संतपुर सोहरीया,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",बैरियाखुर्द,बैरियाखुर्द, , ,004,हरनाटाडँ,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"उत्क्रमित मध्य विद्यालय, महदेवा स्थित मतदान केन्द्र की विशेष","उत्क्रमित मध्य विद्यालय, महदेवा","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",50,"['1', 'वाल्मीकिनगर', 'सामान्य']",खजुरिया,खजुरिया, , ,004,हरनाटाडँ,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"प्राथमिक विद्यालय, खजुरिया मतदान केन्द्र की विशेष","प्राथमिक विद्यालय , खजुरिया","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",मिश्रौलीया,मिश्रौली नौरंगिया, ,नौरंगिया,,नौरंगिया दरदरी,बगहा 2,बगहा 2, ,845106,"उत्क्रमित मध्य विद्यालय, नौरंगिया मतदान केन्द्र की विशेष","उत्क्रमित मध्य विद्यालय, नौरंगिया","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",गोनौली, ,चम्पापुर गोनौली,वाल्मीकिनगर,002,चम्पापुर गोनौली,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"पंचायत भवन गोनौली, बांया भाग मतदान केन्द्र की विशेष",,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",कोतराहा,कोतराहाँ दरदरी, ,नौरंगिया,,नौरंगिया दरदरी,बगहा 2,बगहा 2, ,845106,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",मटियारी,मटिअरिया महुअवा, ,नौरंगिया,005,महुअवा कटहरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"प्राथमिक विद्यालय, मटिअरिया मतदान केन्द्र की विशेष","प्राथमिक विद्यालय, मटिअरिया","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",5,"['1', 'वाल्मीकिनगर', 'सामान्य']",रसमपुरवा,रमपुरवा,रमपुरवा,वाल्मीकिनगर,,लक्ष्मीपुर रमपुरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,,"आँगनबाड़ी, केन्द्र","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",तचम्पापुर,चम्पापुर,चम्पापुर गोनौली,वाल्मीकिनगर,002,चम्पापुर गोनौली,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",26,"['1', 'वाल्मीकिनगर', 'सामान्य']",गोनौली, ,चम्पापुर गोनौली,वाल्मीकिनगर,002,चम्पापुर गोनौली,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",तचम्पापुर,चम्पापुर,चम्पापुर गोनौली,वाल्मीकिनगर,002,चम्पापुर गोनौली,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",बसाहवा टोला,सोहरिया,लक्ष्मीपुर भेडिहारी,वाल्मीकिनगर,001,संतपुर सोहरीया,बगहा 2,बगहा 2,पश्चिम चम्पारण,845453,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",46,"['1', 'वाल्मीकिनगर', 'सामान्य']",हरना टांड,हरनाटॉड, , ,004,हरनाटाडँ,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",29,"['1', 'वाल्मीकिनगर', 'सामान्य']",पिपरा,पीपरा चम्पापुर,चम्पापुर गोनौली,,,चम्पापुर गोनौली,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",दरूआबारी,दरूआबारी,वाल्मीकिनगर,वाल्मीकिनगर,001,संतपुर सोहरीया,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"उत्क्रमित मध्य विद्यालय, दरुआवारी मतदान केन्द्र की विशेष","उत्क्रमित मध्य विद्यालय, दरुआवारी","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",मलकौली गोडार,मलकौली,चम्पापुर गोनौली,वाल्मीकिनगर,002,चम्पापुर गोनौली,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",22,"['1', 'वाल्मीकिनगर', 'सामान्य']",शिवनाहाँ,शिवनाहाँ,चम्पापुर गोनौली,वाल्मीकिनगर,002,चम्पापुर गोनौली,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"लोहिया भवन, शिवनाहा मतदान केन्द्र की विशेष","लोहिया भवन, शिवनाहा","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",सोहरिया टोल,परसौनी,लक्ष्मीपुर भेडिहारी,वाल्मीकिनगर,001,संतपुर सोहरीया,बगहा 2,बगहा 2,पश्चिम चम्पारण,845453,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",अमहट,अमहट,सिधांव,नौरंगिया,003,महुअवा कटहरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"प्राथमिक विद्यालय, अमहट मतदान केन्द्र की विशेष","प्राथमिक विद्यालय, अमहट","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",37,"['1', 'वाल्मीकिनगर', 'सामान्य']",सखुअनवा,सखुअनवा,चम्पापुर गोनौली,वाल्मीकिनगर,002,महुअवा कटहरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"प्राथमिक विद्यालय, सखुअनवा मतदान केन्द्र की विशेष","प्राथमिक विद्यालय, सखुअनवा","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",सेमारा,डाकघर , , ,,अंचल ु बगहा ,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"उत्क्रमित मध्य विद्यालय, सेमरा मतदान कैन्द्र की विशेष",,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",बनकटवा,बनकटवा, , ,003,महुअवा कटहरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"प्राथमिक विद्यालय, बनकटवा मतदान केन्द्र की विशेष","प्राथमिक विद्यालय, बनकटवा","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",महुआवा,महुअबा, , ,003,महुअवा कटहरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"प्राथमिक विद्यालय,महुअवा मतदान केन्द्र की विशेष","प्राथमिक विद्यालय,महुअवा","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",झरहरवा,झरहरवा,लक्ष्मीपुर भेडिहारी,वाल्मीकिनगर,001,संतपुर सोहरीया,बगहा 2,बगहा 2,पश्चिम चम्पारण,845453,"प्राथमिक विद्यालय, झरहरवा मतदान केन्द्र की विशेष","प्राथमिक विद्यालय, झरहरवा","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",47,"['1', 'वाल्मीकिनगर', 'सामान्य']",महादेवा,महदेवा, , ,004,हरनाटाडँ,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,"उत्क्रमित मध्य विद्यालय, महदेंवा स्थित मतदान केन्द्र की विशेष","उत्क्रमित मध्य विद्यालय, महदेवा","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",सोहरिया,सोहरिया,लक्ष्मीपुर भेडिहारी,वाल्मीकिनगर,001,संतपुर सोहरीया,बगहा 2,बगहा 2,पश्चिम चम्पारण,845453,"उत्क्रमित मध्य विद्यालय, सोहरिया ",,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",दरदरी,दरदरी,नौरंगिया,नौरंगिया,003,नौरंगिया दरदरी,बगहा 2,बगहा 2, ,845106,"उत्क्रमित मध्य विद्यालय, बेरई मतदान केन्द्र की विशेष","उत्क्रमित मध्य विद्यालय, बेरई","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",कोतराहा,कोतराहाँ दरदरी, ,नौरंगिया,,नौरंगिया दरदरी,बगहा 2,बगहा 2, ,845106,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",8,"['1', 'वाल्मीकिनगर', 'सामान्य']",भरिहानी,वाल्मीकिनगर,वाल्मीकिनगर,,001,वाल्मीकिनगर,बगहा 2,बगहा 2, ,845107,"पंचायत भवन, टंकी बाजार पूर्वी भाग मतदान केन्द्र की विशेष","पंचायत भवन, टंकी","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",30,"['1', 'वाल्मीकिनगर', 'सामान्य']",सोंनगढवा,सोनगढवा,चम्पापुर गोनौली,वाल्मीकिनगर,002,चम्पापुर गोनौली,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",2,"['1', 'वाल्मीकिनगर', 'सामान्य']",पिपरा कुट्टी,पीपरा कुट्टी,वाल्मीकिनगर,वाल्मीकिनगर,,लक्ष्मीपुर रमपुरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"वन विकास भवन, कोतराहा मतदान केन्द्र की विशेष","वन विकास भवन, कोतराहाँ","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",लक्ष्मीपुर,लक्ष्मीपुर रमपुरवा,रमपुरवा,,,लक्ष्मीपुर रमपुरवा,बगहा 2,बगहा 2,पश्चिम चम्पारण,845105,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",27,"['1', 'वाल्मीकिनगर', 'सामान्य']",गोडार,मलकौली,चम्पापुर गोनौली,वाल्मीकिनगर,002,चम्पापुर गोनौली,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",21,"['1', 'वाल्मीकिनगर', 'सामान्य']",परसौनी टोला,परसौनी,वाल्मीकिनगर,वाल्मीकिनगर,001,संतपुर सोहरीया,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,"उत्क्रमित मध्य विद्यालय, भेड़िहारी मतदान केन्द्र की विशेष","उत्क्रमित मध्य विद्यालय, भेड़िहारी","['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",11,"['1', 'वाल्मीकिनगर', 'सामान्य']",वाल्मीकिनगर चरधरिया,वाल्मीकिनगर,वाल्मीकिनगर,,001,वाल्मीकिनगर,बगहा 2,बगहा 2, ,845107,,,"['', 1338, 733, 603, 0, 1336]"
"['1', 'वाल्मीकिनगर', 'सामान्य']",4,"['1', 'वाल्मीकिनगर', 'सामान्य']",वाल्मीकिनगर,वाल्मीकिनगर,वाल्मीकिनगर,,001,वाल्मीकिनगर,बगहा 2,बगहा 2,पश्चिम चम्पारण,845107,,,"['', 1338, 733, 603, 0, 1336]"
